TCGA_cohort	CNA_coef	CNA_pvalue	Mut_coef	Mut_pvalue	Clone_coef	Clone_pvalue	Aneuploidy_coef	Aneuploidy_pvalue
GBM	0.361118802620493	0.00245272795547496	-0.884245545237548	0.843261988427021	0.997970267027152	0.182329812752497	-0.828815582730736	0.083343494435112
LUAD	-0.00710703069109688	0.921893187615551	0.163064014079795	0.307584466123241	0.674803023519686	0.250071576726843	0.487560778082341	0.00625324731060135
LUSC	0.0637077156609274	0.169958251355675	0.0221746421998022	0.868763593668785	0.703761423748052	0.0751894444028832	0.24333474309466	0.147291017076631
KIRC	0.0341702322821944	0.52547538511145	0.781828084236569	0.054317036521659	-0.36973514111895	0.314520943650992	-0.00371832832000966	0.976205184634481
HNSC	0.122994851216315	0.0295903629458233	-0.100611957742786	0.549261972590427	0.314290217229549	0.223155534761944	-0.0593630078486517	0.557214757276912
SKCM	-0.0668568226838667	0.470129262821758	0.0156797721476509	0.890628052375174	0.52742448999128	0.302914600905665	0.162415474043273	0.438655429579095
CESC	0.0456016253202536	0.338055964405447	-0.21190955662319	0.327081978555963	-0.678348528334747	0.255397119743358	-0.0130708686444131	0.943945407916297
THCA	0.199840712220227	0.212538262050563	3.52122460217983	0.110432228723674	0.755719396864606	0.301494050809702	0.485857731049315	0.0555978652257652
STAD	0.0627042899807363	0.116338879218002	0.11570873164064	0.0444195862490583	0.748509417616432	0.00475566816525713	0.149294888632725	0.141554324432042
BLCA	0.135304660361411	0.0017382410642138	0.0573423326576149	0.645889500283072	0.345089487456697	0.327780524897744	0.404928080257103	0.000876805238212205
PRAD	0.118842130646774	0.0108233737795841	0.253979872025718	0.73567576669288	0.991616548539078	0.19555181905935	0.518898709681236	0.0595521959569504
LGG	0.406436188062328	0.000351344889472277	-0.59191574262522	0.485300612536488	0.470494050106343	0.331022828076501	1.08283777489081	0.000542770172027177
PanCancer	0.110606114111878	5.25694195975759e-10	0.134986783987614	0.000718648532052576	0.343768148790677	0.00639908417167861	0.212090304454325	1.25774995994209e-05
